date	cases	casesCumulative	casesSevenDays	incidenceSevenDays
2020-01-03	1	1	0	0
2020-01-04	1	0	0	0
2020-01-05	1	0	0	0
2020-01-06	1	0	0	0
2020-01-07	1	0	0	0
2020-01-08	1	0	0	0
2020-01-09	1	0	1	0
2020-01-10	1	0	0	0
2020-01-11	1	0	0	0
2020-01-12	1	0	0	0
2020-01-13	1	0	0	0
2020-01-14	1	0	0	0
2020-01-15	1	0	0	0
2020-01-16	1	0	0	0
2020-01-17	1	0	0	0
2020-01-18	1	0	0	0
2020-01-19	1	0	0	0
2020-01-20	1	0	0	0
2020-01-21	1	0	0	0
2020-01-22	1	0	0	0
2020-01-23	1	0	0	0
2020-01-24	2	1	1	0
2020-01-25	2	0	1	0
2020-01-26	2	0	1	0
2020-01-27	2	0	1	0
2020-01-28	2	0	1	0
2020-01-29	4	2	3	0
2020-01-30	6	2	5	0
2020-01-31	6	0	4	0
2020-02-01	10	4	8	0
2020-02-02	11	1	9	0
2020-02-03	11	0	9	0
2020-02-04	12	1	10	0
2020-02-05	16	4	12	0
2020-02-06	18	2	12	0
2020-02-07	19	1	13	0
2020-02-08	20	1	10	0
2020-02-09	20	0	9	0
2020-02-10	20	0	9	0
2020-02-11	21	1	9	0
2020-02-12	23	2	7	0
2020-02-13	24	1	6	0
2020-02-14	24	0	5	0
2020-02-15	24	0	4	0
2020-02-16	25	1	5	0
2020-02-17	25	0	5	0
2020-02-18	27	2	6	0
2020-02-19	28	1	5	0
2020-02-20	29	1	5	0
2020-02-21	31	2	7	0
2020-02-22	31	0	7	0
2020-02-23	31	0	6	0
2020-02-24	31	0	6	0
2020-02-25	32	1	5	0
2020-02-26	35	3	7	0
2020-02-27	43	8	14	0
2020-02-28	67	24	36	0
2020-02-29	112	45	81	0.1
2020-03-01	135	23	104	0.1
2020-03-02	170	35	139	0.2
2020-03-03	213	43	181	0.2
2020-03-04	298	85	263	0.3
2020-03-05	455	157	412	0.5
2020-03-06	641	186	574	0.7
2020-03-07	827	186	715	0.8
2020-03-08	969	142	834	1
2020-03-09	1075	106	905	1.1
2020-03-10	1423	348	1210	1.4
2020-03-11	2018	595	1720	2
2020-03-12	2776	758	2321	2.8
2020-03-13	3766	990	3125	3.7
2020-03-14	5234	1468	4407	5.2
2020-03-15	6535	1301	5566	6.6
2020-03-16	7513	978	6438	7.6
2020-03-17	9548	2035	8125	9.6
2020-03-18	12581	3033	10563	12.5
2020-03-19	16186	3605	13410	15.9
2020-03-20	20231	4045	16465	19.5
2020-03-21	24281	4050	19047	22.6
2020-03-22	27636	3355	21101	25
2020-03-23	29902	2266	22389	26.5
2020-03-24	33629	3727	24081	28.5
2020-03-25	38503	4874	25922	30.7
2020-03-26	44175	5672	27989	33.2
2020-03-27	50074	5899	29843	35.4
2020-03-28	56045	5971	31764	37.7
2020-03-29	60764	4719	33128	39.3
2020-03-30	63838	3074	33936	40.2
2020-03-31	67962	4124	34333	40.7
2020-04-01	74001	6039	35498	42.1
2020-04-02	80258	6257	36083	42.8
2020-04-03	86800	6542	36726	43.5
2020-04-04	92982	6182	36937	43.8
2020-04-05	97322	4340	36558	43.3
2020-04-06	99854	2532	36016	42.7
2020-04-07	103513	3659	35551	42.1
2020-04-08	108697	5184	34696	41.1
2020-04-09	113970	5273	33712	40
2020-04-10	118882	4912	32082	38
2020-04-11	122232	3350	29250	34.7
2020-04-12	125108	2876	27786	32.9
2020-04-13	126977	1869	27123	32.2
2020-04-14	128575	1598	25062	29.7
2020-04-15	131040	2465	22343	26.5
2020-04-16	134364	3324	20394	24.2
2020-04-17	137777	3413	18895	22.4
2020-04-18	140823	3046	18591	22
2020-04-19	142930	2107	17822	21.1
2020-04-20	144304	1374	17327	20.5
2020-04-21	146016	1712	17441	20.7
2020-04-22	148200	2184	17160	20.3
2020-04-23	150689	2489	16325	19.4
2020-04-24	152779	2090	15002	17.8
2020-04-25	154681	1902	13858	16.4
2020-04-26	155952	1271	13022	15.4
2020-04-27	156650	698	12346	14.6
2020-04-28	157764	1114	11748	13.9
2020-04-29	159237	1473	11037	13.1
2020-04-30	160665	1428	9976	11.8
2020-05-01	162129	1464	9350	11.1
2020-05-02	163048	919	8367	9.9
2020-05-03	163670	622	7718	9.1
2020-05-04	164093	423	7443	8.8
2020-05-05	164820	727	7056	8.4
2020-05-06	165914	1094	6677	7.9
2020-05-07	167133	1219	6468	7.7
2020-05-08	168336	1203	6207	7.4
2020-05-09	169316	980	6268	7.4
2020-05-10	169993	677	6323	7.5
2020-05-11	170334	341	6241	7.4
2020-05-12	171023	689	6203	7.4
2020-05-13	171876	853	5962	7.1
2020-05-14	172790	914	5657	6.7
2020-05-15	173602	812	5266	6.2
2020-05-16	174336	734	5020	6
2020-05-17	174798	462	4805	5.7
2020-05-18	175115	317	4781	5.7
2020-05-19	175655	540	4632	5.5
2020-05-20	176385	730	4509	5.3
2020-05-21	177217	832	4427	5.2
2020-05-22	177635	418	4033	4.8
2020-05-23	178161	526	3825	4.5
2020-05-24	178498	337	3700	4.4
2020-05-25	178717	219	3602	4.3
2020-05-26	179128	411	3473	4.1
2020-05-27	179745	617	3360	4
2020-05-28	180398	653	3181	3.8
2020-05-29	180927	529	3292	3.9
2020-05-30	181373	446	3212	3.8
2020-05-31	181747	374	3249	3.9
2020-06-01	181925	178	3208	3.8
2020-06-02	182060	135	2932	3.5
2020-06-03	182367	307	2622	3.1
2020-06-04	182864	497	2466	2.9
2020-06-05	183394	530	2467	2.9
2020-06-06	183827	433	2454	2.9
2020-06-07	184112	285	2365	2.8
2020-06-08	184276	164	2351	2.8
2020-06-09	184571	295	2511	3
2020-06-10	184997	426	2630	3.1
2020-06-11	185515	518	2651	3.1
2020-06-12	185798	283	2404	2.8
2020-06-13	186151	353	2324	2.8
2020-06-14	186452	301	2340	2.8
2020-06-15	186624	172	2348	2.8
2020-06-16	186883	259	2312	2.7
2020-06-17	187401	518	2404	2.8
2020-06-18	188268	867	2753	3.3
2020-06-19	189033	765	3235	3.8
2020-06-20	190023	990	3872	4.6
2020-06-21	190594	571	4142	4.9
2020-06-22	190817	223	4193	5
2020-06-23	191264	447	4381	5.2
2020-06-24	191804	540	4403	5.2
2020-06-25	192314	510	4046	4.8
2020-06-26	192884	570	3851	4.6
2020-06-27	193457	573	3434	4.1
2020-06-28	193783	326	3189	3.8
2020-06-29	193984	201	3167	3.8
2020-06-30	194399	415	3135	3.7
2020-07-01	194857	458	3053	3.6
2020-07-02	195338	481	3024	3.6
2020-07-03	195809	471	2925	3.5
2020-07-04	196236	427	2779	3.3
2020-07-05	196530	294	2747	3.3
2020-07-06	196675	145	2691	3.2
2020-07-07	196998	323	2599	3.1
2020-07-08	197395	397	2538	3
2020-07-09	197846	451	2508	3
2020-07-10	198268	422	2459	2.9
2020-07-11	198695	427	2459	2.9
2020-07-12	198972	277	2442	2.9
2020-07-13	199104	132	2429	2.9
2020-07-14	199432	328	2434	2.9
2020-07-15	199902	470	2507	3
2020-07-16	200444	542	2598	3.1
2020-07-17	201003	559	2735	3.2
2020-07-18	201526	523	2831	3.4
2020-07-19	201965	439	2993	3.5
2020-07-20	202144	179	3040	3.6
2020-07-21	202595	451	3163	3.7
2020-07-22	203121	526	3219	3.8
2020-07-23	203823	702	3379	4
2020-07-24	204514	691	3511	4.2
2020-07-25	205319	805	3793	4.5
2020-07-26	205863	544	3898	4.6
2020-07-27	206075	212	3931	4.7
2020-07-28	206602	527	4007	4.7
2020-07-29	207357	755	4236	5
2020-07-30	208271	914	4448	5.3
2020-07-31	209136	865	4622	5.5
2020-08-01	210049	913	4730	5.6
2020-08-02	210612	563	4749	5.6
2020-08-03	210914	302	4839	5.7
2020-08-04	211711	797	5109	6.1
2020-08-05	212662	951	5305	6.3
2020-08-06	213773	1111	5502	6.5
2020-08-07	214943	1170	5807	6.9
2020-08-08	215948	1005	5899	7
2020-08-09	216658	710	6046	7.2
2020-08-10	216975	317	6061	7.2
2020-08-11	218079	1104	6368	7.5
2020-08-12	219270	1191	6608	7.8
2020-08-13	220815	1545	7042	8.3
2020-08-14	222319	1504	7376	8.7
2020-08-15	223693	1374	7745	9.2
2020-08-16	224452	759	7794	9.2
2020-08-17	224944	492	7969	9.4
2020-08-18	226483	1539	8404	10
2020-08-19	228011	1528	8741	10.4
2020-08-20	229763	1752	8948	10.6
2020-08-21	231383	1620	9064	10.7
2020-08-22	233040	1657	9347	11.1
2020-08-23	233959	919	9507	11.3
2020-08-24	234523	564	9579	11.4
2020-08-25	235951	1428	9468	11.2
2020-08-26	237439	1488	9428	11.2
2020-08-27	239060	1621	9297	11
2020-08-28	240606	1546	9223	10.9
2020-08-29	241998	1392	8958	10.6
2020-08-30	242831	833	8872	10.5
2020-08-31	243365	534	8842	10.5
2020-09-01	244542	1177	8591	10.2
2020-09-02	245864	1322	8425	10
2020-09-03	247276	1412	8216	9.7
2020-09-04	248791	1515	8185	9.7
2020-09-05	250289	1498	8291	9.8
2020-09-06	251395	1106	8564	10.2
2020-09-07	251974	579	8609	10.2
2020-09-08	253387	1413	8845	10.5
2020-09-09	254768	1381	8904	10.6
2020-09-10	256513	1745	9237	10.9
2020-09-11	258102	1589	9311	11
2020-09-12	259769	1667	9480	11.2
2020-09-13	260997	1228	9602	11.4
2020-09-14	261759	762	9785	11.6
2020-09-15	263248	1489	9861	11.7
2020-09-16	265247	1999	10479	12.4
2020-09-17	267426	2179	10913	12.9
2020-09-18	269786	2360	11684	13.9
2020-09-19	271953	2167	12184	14.4
2020-09-20	273345	1392	12348	14.6
2020-09-21	274034	689	12275	14.6
2020-09-22	275685	1651	12437	14.7
2020-09-23	277495	1810	12248	14.5
2020-09-24	279709	2214	12283	14.6
2020-09-25	282098	2389	12312	14.6
2020-09-26	284431	2333	12478	14.8
2020-09-27	286215	1784	12870	15.3
2020-09-28	287089	874	13055	15.5
2020-09-29	288922	1833	13237	15.7
2020-09-30	291084	2162	13589	16.1
2020-10-01	293823	2739	14114	16.7
2020-10-02	296752	2929	14654	17.4
2020-10-03	299681	2929	15250	18.1
2020-10-04	301877	2196	15662	18.6
2020-10-05	303033	1156	15944	18.9
2020-10-06	305448	2415	16526	19.6
2020-10-07	309034	3586	17950	21.3
2020-10-08	313534	4500	19711	23.4
2020-10-09	318207	4673	21455	25.4
2020-10-10	323276	5069	23595	28
2020-10-11	326902	3626	25025	29.7
2020-10-12	329177	2275	26144	31
2020-10-13	333369	4192	27921	33.1
2020-10-14	338734	5365	29700	35.2
2020-10-15	345981	7247	32447	38.5
2020-10-16	353883	7902	35676	42.3
2020-10-17	361860	7977	38584	45.7
2020-10-18	367527	5667	40625	48.2
2020-10-19	371202	3675	42025	49.8
2020-10-20	377655	6453	44286	52.5
2020-10-21	387091	9436	48357	57.3
2020-10-22	399491	12400	53510	63.4
2020-10-23	413399	13908	59516	70.6
2020-10-24	427448	14049	65588	77.7
2020-10-25	438535	11087	71008	84.2
2020-10-26	445990	7455	74788	88.7
2020-10-27	458020	12030	80365	95.3
2020-10-28	473968	15948	86877	103
2020-10-29	493216	19248	93725	111.1
2020-10-30	513058	19842	99659	118.1
2020-10-31	532465	19407	105017	124.5
2020-11-01	546455	13990	107920	127.9
2020-11-02	556989	10534	110999	131.6
2020-11-03	572231	15242	114211	135.4
2020-11-04	591572	19341	117604	139.4
2020-11-05	612777	21205	119561	141.7
2020-11-06	635061	22284	122003	144.6
2020-11-07	656627	21566	124162	147.2
2020-11-08	672548	15921	126093	149.5
2020-11-09	682674	10126	125685	149
2020-11-10	698670	15996	126439	149.9
2020-11-11	718290	19620	126718	150.2
2020-11-12	740997	22707	128220	152
2020-11-13	764563	23566	129502	153.5
2020-11-14	785886	21323	129259	153.2
2020-11-15	801694	15808	129146	153.1
2020-11-16	810542	8848	127868	151.6
2020-11-17	825241	14699	126571	150
2020-11-18	845622	20381	127332	150.9
2020-11-19	869297	23675	128300	152.1
2020-11-20	893054	23757	128491	152.3
2020-11-21	915373	22319	129487	153.5
2020-11-22	930136	14763	128442	152.3
2020-11-23	938945	8809	128403	152.2
2020-11-24	954013	15068	128772	152.6
2020-11-25	973425	19412	127803	151.5
2020-11-26	995450	22025	126153	149.5
2020-11-27	1018192	22742	125138	148.3
2020-11-28	1038351	20159	122978	145.8
2020-11-29	1053295	14944	123159	146
2020-11-30	1062076	8781	123131	146
2020-12-01	1075371	13295	121358	143.9
2020-12-02	1094643	19272	121218	143.7
2020-12-03	1117839	23196	122389	145.1
2020-12-04	1142288	24449	124096	147.1
2020-12-05	1164446	22158	126095	149.5
2020-12-06	1180166	15720	126871	150.4
2020-12-07	1190387	10221	128311	152.1
2020-12-08	1206795	16408	131424	155.8
2020-12-09	1229617	22822	134974	160
2020-12-10	1257232	27615	139393	165.2
2020-12-11	1286254	29022	143966	170.7
2020-12-12	1313509	27255	149063	176.7
2020-12-13	1334133	20624	153967	182.5
2020-12-14	1346632	12499	156245	185.2
2020-12-15	1365641	19009	158846	188.3
2020-12-16	1392543	26902	162926	193.1
2020-12-17	1423908	31365	166676	197.6
2020-12-18	1455870	31962	169616	201.1
2020-12-19	1485558	29688	172049	203.9
2020-12-20	1507284	21726	173151	205.3
2020-12-21	1521196	13912	174564	206.9
2020-12-22	1541465	20269	175824	208.4
2020-12-23	1570403	28938	177860	210.8
2020-12-24	1604339	33936	180431	213.9
2020-12-25	1625458	21119	169588	201
2020-12-26	1638605	13147	153047	181.4
2020-12-27	1650154	11549	142870	169.4
2020-12-28	1659961	9807	138765	164.5
2020-12-29	1675660	15699	134195	159.1
2020-12-30	1703209	27549	132806	157.4
2020-12-31	1734266	31057	129927	154
2021-01-01	1753823	19557	128365	152.2
2021-01-02	1764067	10244	125462	148.7
2021-01-03	1774068	10001	123914	146.9
2021-01-04	1782892	8824	122931	145.7
2021-01-05	1797248	14356	121588	144.1
2021-01-06	1824673	27425	121464	144
2021-01-07	1852610	27937	118344	140.3
2021-01-08	1878695	26085	124872	148
2021-01-09	1903229	24534	139162	165
2021-01-10	1919895	16666	145827	172.9
2021-01-11	1928366	8471	145474	172.4
2021-01-12	1941859	13493	144611	171.4
2021-01-13	1964450	22591	139777	165.7
2021-01-14	1988557	24107	135947	161.2
2021-01-15	2008952	20395	130257	154.4
2021-01-16	2027274	18322	124045	147
2021-01-17	2040702	13428	120807	143.2
2021-01-18	2047295	6593	118929	141
2021-01-19	2056463	9168	114604	135.9
2021-01-20	2074928	18465	110478	131
2021-01-21	2094400	19472	105843	125.5
2021-01-22	2111223	16823	102271	121.2
2021-01-23	2126256	15033	98982	117.3
2021-01-24	2137831	11575	97129	115.1
2021-01-25	2142845	5014	95550	113.3
2021-01-26	2149594	6749	93131	110.4
2021-01-27	2165111	15517	90183	106.9
2021-01-28	2180927	15816	86527	102.6
2021-01-29	2194287	13360	83064	98.5
2021-01-30	2206853	12566	80597	95.5
2021-01-31	2216803	9950	78972	93.6
2021-02-01	2221011	4208	78166	92.7
2021-02-02	2226874	5863	77280	91.6
2021-02-03	2239173	12299	74062	87.8
2021-02-04	2252591	13418	71664	85
2021-02-05	2264114	11523	69827	82.8
2021-02-06	2274133	10019	67280	79.8
2021-02-07	2282517	8384	65714	77.9
2021-02-08	2285610	3093	64599	76.6
2021-02-09	2289809	4199	62935	74.6
2021-02-10	2298900	9091	59727	70.8
2021-02-11	2309181	10281	56590	67.1
2021-02-12	2318550	9369	54436	64.5
2021-02-13	2327086	8536	52953	62.8
2021-02-14	2332673	5587	50156	59.5
2021-02-15	2336433	3760	50823	60.2
2021-02-16	2340822	4389	51013	60.5
2021-02-17	2350053	9231	51153	60.6
2021-02-18	2360046	9993	50865	60.3
2021-02-19	2369256	9210	50706	60.1
2021-02-20	2377970	8714	50884	60.3
2021-02-21	2385739	7769	53066	62.9
2021-02-22	2388761	3022	52328	62
2021-02-23	2393167	4406	52345	62.1
2021-02-24	2403333	10166	53280	63.2
2021-02-25	2414639	11306	54593	64.7
2021-02-26	2424538	9899	55282	65.5
2021-02-27	2434006	9468	56036	66.4
2021-02-28	2441666	7660	55927	66.3
2021-03-01	2445118	3452	56357	66.8
2021-03-02	2449807	4689	56640	67.1
2021-03-03	2460776	10969	57443	68.1
2021-03-04	2472089	11313	57450	68.1
2021-03-05	2482226	10137	57688	68.4
2021-03-06	2491880	9654	57874	68.6
2021-03-07	2500178	8298	58512	69.4
2021-03-08	2503540	3362	58422	69.3
2021-03-09	2508390	4850	58583	69.4
2021-03-10	2519906	11516	59130	70.1
2021-03-11	2533908	14002	61819	73.3
2021-03-12	2547070	13162	64844	76.9
2021-03-13	2559626	12556	67746	80.3
2021-03-14	2570094	10468	69916	82.9
2021-03-15	2574929	4835	71389	84.6
2021-03-16	2581781	6852	73391	87
2021-03-17	2597569	15788	77663	92.1
2021-03-18	2615928	18359	82020	97.2
2021-03-19	2632662	16734	85592	101.5
2021-03-20	2648364	15702	88738	105.2
2021-03-21	2661582	13218	91488	108.5
2021-03-22	2667537	5955	92608	109.8
2021-03-23	2676439	8902	94658	112.2
2021-03-24	2695888	19449	98319	116.5
2021-03-25	2718527	22639	102599	121.6
2021-03-26	2740438	21911	107776	127.8
2021-03-27	2760478	20040	112114	132.9
2021-03-28	2776261	15783	114679	135.9
2021-03-29	2783843	7582	116306	137.9
2021-03-30	2794847	11004	118408	140.4
2021-03-31	2815235	20388	119347	141.5
2021-04-01	2839218	23983	120691	143.1
2021-04-02	2860630	21412	120192	142.5
2021-04-03	2876108	15478	115630	137.1
2021-04-04	2886707	10599	110446	130.9
2021-04-05	2893849	7142	110006	130.4
2021-04-06	2900868	7019	106021	125.7
2021-04-07	2912365	11497	97130	115.1
2021-04-08	2936089	23724	96871	114.8
2021-04-09	2961841	25752	101211	120
2021-04-10	2985131	23290	109023	129.2
2021-04-11	3003184	18053	116477	138.1
2021-04-12	3012034	8850	118185	140.1
2021-04-13	3024150	12116	123282	146.1
2021-04-14	3050874	26724	138509	164.2
2021-04-15	3079424	28550	143335	169.9
2021-04-16	3104485	25061	142644	169.1
2021-04-17	3127562	23077	142431	168.8
2021-04-18	3145247	17685	142063	168.4
2021-04-19	3154048	8801	142014	168.3
2021-04-20	3166346	12298	142196	168.6
2021-04-21	3194312	27966	143438	170
2021-04-22	3223684	29372	144260	171
2021-04-23	3249113	25429	144628	171.4
2021-04-24	3272074	22961	144512	171.3
2021-04-25	3290067	17993	144820	171.7
2021-04-26	3298730	8663	144682	171.5
2021-04-27	3310914	12184	144568	171.4
2021-04-28	3336165	25251	141853	168.2
2021-04-29	3361165	25000	137481	163
2021-04-30	3382563	21398	133450	158.2
2021-05-01	3401719	19156	129645	153.7
2021-05-02	3416762	15043	126695	150.2
2021-05-03	3423409	6647	124679	147.8
2021-05-04	3432518	9109	121604	144.2
2021-05-05	3453485	20967	117320	139.1
2021-05-06	3474326	20841	113161	134.1
2021-05-07	3491473	17147	108910	129.1
2021-05-08	3506937	15464	105218	124.7
2021-05-09	3518946	12009	102184	121.1
2021-05-10	3524263	5317	100854	119.6
2021-05-11	3531649	7386	99131	117.5
2021-05-12	3548391	16742	94906	112.5
2021-05-13	3564851	16460	90525	107.3
2021-05-14	3574513	9662	83040	98.4
2021-05-15	3582144	7631	75207	89.2
2021-05-16	3590738	8594	71792	85.1
2021-05-17	3595009	4271	70746	83.9
2021-05-18	3600253	5244	68604	81.3
2021-05-19	3612564	12311	64173	76.1
2021-05-20	3623862	11298	59011	70
2021-05-21	3632284	8422	57771	68.5
2021-05-22	3639860	7576	57716	68.4
2021-05-23	3645679	5819	54941	65.1
2021-05-24	3647681	2002	52672	62.4
2021-05-25	3649480	1799	49227	58.4
2021-05-26	3653147	3667	40583	48.1
2021-05-27	3660292	7145	36430	43.2
2021-05-28	3667082	6790	34798	41.2
2021-05-29	3672256	5174	32396	38.4
2021-05-30	3675947	3691	30268	35.9
2021-05-31	3677554	1607	29873	35.4
2021-06-01	3679992	2438	30512	36.2
2021-06-02	3685096	5104	31949	37.9
2021-06-03	3689581	4485	29289	34.7
2021-06-04	3692514	2933	25432	30.1
2021-06-05	3694787	2273	22531	26.7
2021-06-06	3697096	2309	21149	25.1
2021-06-07	3698232	1136	20678	24.5
2021-06-08	3699947	1715	19955	23.7
2021-06-09	3703483	3536	18387	21.8
2021-06-10	3706346	2863	16765	19.9
2021-06-11	3708625	2279	16111	19.1
2021-06-12	3710466	1841	15679	18.6
2021-06-13	3711776	1310	14680	17.4
2021-06-14	3712292	516	14060	16.7
2021-06-15	3713224	932	13277	15.7
2021-06-16	3714927	1703	11444	13.6
2021-06-17	3716368	1441	10022	11.9
2021-06-18	3717530	1162	8905	10.6
2021-06-19	3718564	1034	8098	9.6
2021-06-20	3719301	737	7525	8.9
2021-06-21	3719577	276	7285	8.6
2021-06-22	3720186	609	6962	8.3
2021-06-23	3721255	1069	6328	7.5
2021-06-24	3722159	904	5791	6.9
2021-06-25	3722988	829	5458	6.5
2021-06-26	3723729	741	5165	6.1
2021-06-27	3724213	484	4912	5.8
2021-06-28	3724436	223	4859	5.8
2021-06-29	3724958	522	4772	5.7
2021-06-30	3725858	900	4603	5.5
2021-07-01	3726725	867	4566	5.4
2021-07-02	3727436	711	4448	5.3
2021-07-03	3728106	670	4377	5.2
2021-07-04	3728615	509	4402	5.2
2021-07-05	3728822	207	4386	5.2
2021-07-06	3729378	556	4420	5.2
2021-07-07	3730443	1065	4585	5.4
2021-07-08	3731406	963	4681	5.5
2021-07-09	3732364	958	4928	5.8
2021-07-10	3733314	950	5208	6.2
2021-07-11	3734107	793	5492	6.5
2021-07-12	3734418	311	5596	6.6
2021-07-13	3735219	801	5841	6.9
2021-07-14	3736984	1765	6541	7.8
2021-07-15	3738610	1626	7204	8.5
2021-07-16	3740131	1521	7767	9.2
2021-07-17	3741751	1620	8437	10
2021-07-18	3743032	1281	8925	10.6
2021-07-19	3743530	498	9112	10.8
2021-07-20	3744963	1433	9744	11.6
2021-07-21	3747302	2339	10318	12.2
2021-07-22	3749599	2297	10989	13
2021-07-23	3751825	2226	11694	13.9
2021-07-24	3753945	2120	12194	14.5
2021-07-25	3755539	1594	12507	14.8
2021-07-26	3756176	637	12646	15
2021-07-27	3757841	1665	12878	15.3
2021-07-28	3760940	3099	13638	16.2
2021-07-29	3763786	2846	14187	16.8
2021-07-30	3766422	2636	14597	17.3
2021-07-31	3768950	2528	15005	17.8
2021-08-01	3770913	1963	15374	18.2
2021-08-02	3771696	783	15520	18.4
2021-08-03	3773817	2121	15976	18.9
2021-08-04	3777573	3756	16633	19.7
2021-08-05	3781114	3541	17328	20.5
2021-08-06	3784645	3531	18223	21.6
2021-08-07	3788188	3543	19238	22.8
2021-08-08	3790980	2792	20067	23.8
2021-08-09	3792121	1141	20425	24.2
2021-08-10	3795044	2923	21227	25.2
2021-08-11	3800611	5567	23038	27.3
2021-08-12	3806255	5644	25141	29.8
2021-08-13	3811707	5452	27062	32.1
2021-08-14	3817494	5787	29306	34.7
2021-08-15	3822131	4637	31151	36.9
2021-08-16	3824197	2066	32076	38
2021-08-17	3828722	4525	33678	39.9
2021-08-18	3837644	8922	37033	43.9
2021-08-19	3846400	8756	40145	47.6
2021-08-20	3855087	8687	43380	51.4
2021-08-21	3863930	8843	46436	55
2021-08-22	3870754	6824	48623	57.6
2021-08-23	3873849	3095	49652	58.9
2021-08-24	3880421	6572	51699	61.3
2021-08-25	3893322	12901	55678	66
2021-08-26	3906043	12721	59643	70.7
2021-08-27	3917670	11627	62583	74.2
2021-08-28	3928072	10402	64142	76
2021-08-29	3936478	8406	65724	77.9
2021-08-30	3940215	3737	66366	78.7
2021-08-31	3947306	7091	66885	79.3
2021-09-01	3961884	14578	68562	81.3
2021-09-02	3976628	14744	70585	83.7
2021-09-03	3989349	12721	71679	85
2021-09-04	4001424	12075	73352	87
2021-09-05	4010903	9479	74425	88.2
2021-09-06	4014949	4046	74734	88.6
2021-09-07	4021965	7016	74659	88.5
2021-09-08	4037085	15120	75201	89.1
2021-09-09	4051242	14157	74614	88.4
2021-09-10	4063636	12394	74287	88.1
2021-09-11	4074774	11138	73350	86.9
2021-09-12	4083327	8553	72424	85.9
2021-09-13	4086608	3281	71659	84.9
2021-09-14	4093485	6877	71520	84.8
2021-09-15	4106875	13390	69790	82.7
2021-09-16	4119101	12226	67859	80.4
2021-09-17	4129375	10274	65739	77.9
2021-09-18	4138258	8883	63484	75.3
2021-09-19	4145295	7037	61968	73.5
2021-09-20	4148074	2779	61466	72.9
2021-09-21	4153486	5412	60001	71.1
2021-09-22	4164745	11259	57870	68.6
2021-09-23	4175201	10456	56100	66.5
2021-09-24	4184286	9085	54911	65.1
2021-09-25	4192698	8412	54440	64.5
2021-09-26	4199048	6350	53753	63.7
2021-09-27	4201697	2649	53623	63.6
2021-09-28	4207464	5767	53978	64
2021-09-29	4220114	12650	55369	65.6
2021-09-30	4231495	11381	56294	66.7
2021-10-01	4240995	9500	56709	67.2
2021-10-02	4249387	8392	56689	67.2
2021-10-03	4255537	6150	56489	67
2021-10-04	4258184	2647	56487	67
2021-10-05	4263854	5670	56390	66.8
2021-10-06	4276076	12222	55962	66.3
2021-10-07	4287189	11113	55694	66
2021-10-08	4297330	10141	56335	66.8
2021-10-09	4306548	9218	57161	67.8
2021-10-10	4313569	7021	58032	68.8
2021-10-11	4316207	2638	58023	68.8
2021-10-12	4322470	6263	58616	69.5
2021-10-13	4335114	12644	59038	70
2021-10-14	4347174	12060	59985	71.1
2021-10-15	4358511	11337	61181	72.5
2021-10-16	4369665	11154	63117	74.8
2021-10-17	4378155	8490	64586	76.6
2021-10-18	4381568	3413	65361	77.5
2021-10-19	4389711	8143	67241	79.7
2021-10-20	4408871	19160	73757	87.4
2021-10-21	4426855	17984	79681	94.5
2021-10-22	4444159	17304	85648	101.5
2021-10-23	4460833	16674	91168	108.1
2021-10-24	4474120	13287	95965	113.8
2021-10-25	4479299	5179	97731	115.9
2021-10-26	4491168	11869	101457	120.3
2021-10-27	4517566	26398	108695	128.8
2021-10-28	4544873	27307	118018	139.9
2021-10-29	4569219	24346	125060	148.2
2021-10-30	4591786	22567	130953	155.2
2021-10-31	4608864	17078	134744	159.7
2021-11-01	4616316	7452	137017	162.4
2021-11-02	4627797	11481	136629	162
2021-11-03	4652202	24405	134636	159.6
2021-11-04	4688349	36147	143476	170.1
2021-11-05	4724819	36470	155600	184.5
2021-11-06	4758560	33741	166774	197.7
2021-11-07	4782330	23770	173466	205.6
2021-11-08	4794189	11859	177873	210.9
2021-11-09	4818482	24293	190685	226
2021-11-10	4865686	47204	213484	253.1
2021-11-11	4916532	50846	228183	270.5
2021-11-12	4966269	49737	241450	286.2
2021-11-13	5012355	46086	253795	300.9
2021-11-14	5046329	33974	263999	312.9
2021-11-15	5065365	19036	271176	321.5
2021-11-16	5099950	34585	281468	333.7
2021-11-17	5162953	63003	297267	352.4
2021-11-18	5226142	63189	309610	367
2021-11-19	5287369	61227	321100	380.6
2021-11-20	5349917	62548	337562	400.2
2021-11-21	5392244	42327	345915	410.1
2021-11-22	5417023	24779	351658	416.9
2021-11-23	5463685	46662	363735	431.2
2021-11-24	5538231	74546	375278	444.9
2021-11-25	5613953	75722	387811	459.7
2021-11-26	5685813	71860	398444	472.3
2021-11-27	5749896	64083	399979	474.1
2021-11-28	5794821	44925	402577	477.2
2021-11-29	5820360	25539	403337	478.1
2021-11-30	5864704	44344	401019	475.4
2021-12-01	5938317	73613	400086	474.3
2021-12-02	6012338	74021	398385	472.3
2021-12-03	6080335	67997	394522	467.7
2021-12-04	6142860	62525	392964	465.8
2021-12-05	6185342	42482	390521	462.9
2021-12-06	6208407	23065	388047	460
2021-12-07	6250915	42508	386211	457.8
2021-12-08	6320254	69339	381937	452.8
2021-12-09	6387457	67203	375119	444.7
2021-12-10	6445125	57668	364790	432.4
